ID,Title,Parent
410000,Departmental Appropriations,ACC1
410100,Administered Annual Appropriations,ACC1
410300,Administered Special Appropriations,ACC1
400000,Rendering of Services Revenue RE,ACC2
400100,Rendering of Services Revenue EE,ACC2
450100,Other Revenue - Returned to OPA,ACC3
450110,Other Rev Returned to OPA MOP(S),ACC3
450120,M&PS Only Other Rev Returned to OPA - PE,ACC3
450121,Penalty-VoluntaryRepay-Parl-PE Act-RevRe,ACC3
450000,Legal Settlements,ACC3
450600,Post Tax Employee Contribution,ACC3
459100,Minor Gains Account - Roundings,ACC3
450200,Spec Acc Rev,ACC3
459000,Adjustment to Expenses from Prior Years,ACC3
420000,Insurance Preimums,ACC3
460000,Resources received free of chg,ACC3
404500,Service Income,ACC4
450400,Commission Revenue,ACC4
430000,Interest Received - State & Territory De,ACC5
430300,Unwind Concessional Loan Discount - S &,ACC5
430310,Unwind Concessional Loan Discount - Hous,ACC5
430200,Interest Received - Admin Invest Funds,ACC5
430400,Interest Received - Housing agreement,ACC5
431000,Dividends - CCE,ACC5
431010,Dividends - AIF,ACC5
461950,Gain on Sale Investment,ACC6
461960,Unrealised Gain on Financial Instruments,ACC6
461970,Interest on FI - B Bills & Cert of Dep,ACC6
461971,Interest on FI - Mort Backed Sec,ACC6
461972,Interset on FI - Corp Debt Sec,ACC6
461974,Interest on FI - Govt Debt Securities,ACC6
461975,Interest on FI - Asset Backed Securities,ACC6
461976,Interest on FI - Corporate Credit Loans,ACC6
461977,Interest on FI - Swap Interest Income,ACC6
461979,Interest on FI - Other Fixed Income,ACC6
464600,Unrealised Exchange Gains,ACC6
464500,Realised Exchange Gains,ACC6
461001,Proceeds Land & Buildings - manual,ACC7
462000,Revaluation Increment Suspense - L&B,ACC7
462300,Revaluation Increment IPE,ACC7
440000,Super Contributions Related Employer Age,ACC8
440100,Super Contributions Unrelated Employer A,ACC8
440200,Parliamentary Contri Super,ACC8
404100,Rental Income,ACC9
404200,Rental income - External Entity,ACC9
404300,Rent Premium,ACC9
421000,Claim Recoveries,ACC10
451010,M&PS Only Insurance Recov MOP(S) Act,ACC10
410500,Admin GST Approp,ACC1
500000,Salary/ Wages,ACC11
500010,Casual Wages,ACC11
500015,DOF Employees Seconded Away,ACC11
500020,Overtime,ACC11
500030,Labour Recoveries,ACC11
500120,TOIL Employee Employees,ACC11
500050,Comcare Reimbursements Current Year,ACC11
500100,Recreation Leave,ACC11
500110,Long Service Leave,ACC11
500150,Payroll On Cost Adjustment,ACC11
500200,Employer Super Contributions,ACC11
500300,Separation and Redundancy,ACC11
500430,Other Allowances,ACC11
