Node,Parent,ID,Node Type
Online Services,183B,104,Cost Center
govCMS,183B,105,Cost Center
CGS Executive,120B,107,Cost Center
Commercial Executive,122B,110,Cost Center
Discretionary Payments,238B,112,Cost Center
Government Business Oversight Unit,151B,113,Cost Center
AWD Reform and ASC Oversight,107B,123,Cost Center
Defence Businesses,102B,124,Cost Center
Procurement and Insurance Exec,209B,128,Cost Center
Procurement Policy,196B,129,Cost Center
Austender Administration,196B,130,Cost Center
Communications Advice,123B,131,Cost Center
PCD - Executive,186B,132,Cost Center
PG - AEIFRS,186B,133,Cost Center
WoAG Prop Perform (Analysis & Reporting),186B,135,Cost Center
Contract Management (Owned Portfolio),191B,137,Cost Center
Client Relationship Management Executive,200B,138,Cost Center
PCD Governance & Stakeholder Comms,186B,139,Cost Center
National Divestment Program,197B,141,Cost Center
PWP Program Management,191B,146,Cost Center
National Property Efficiency Program,198B,148,Cost Center
WoAG Prop Policy,198B,149,Cost Center
Project Delivery,191B,151,Cost Center
Lands Acquisition Act Administration,198B,158,Cost Center
Property Legislation & Advice Exec,199B,163,Cost Center
PWC & Disposals Admin,200B,164,Cost Center
Property Data Management,198B,165,Cost Center
National Land Administration,197B,166,Cost Center
Comcover SA Administration,162B,170,Cost Center
Campaign Advertising,195B,171,Cost Center
Fleet Motor Vehicles,195B,173,Cost Center
Secretariat,232B,176,Cost Center
Major Office Machines,195B,177,Cost Center
WoAG Travel,195B,182,Cost Center
Travel Phase2 - Tender,195B,185,Cost Center
Stationery & Office Supplies,195B,187,Cost Center
GovDesk - GovMail,230B,194,Cost Center
BFR Executive,110B,195,Cost Center
Budget Coordination,113B,198,Cost Center
Budget Policy & Co-ord Exec,113B,199,Cost Center
Budget Analysis,112B,200,Cost Center
Central Agencies & Attorney Generals,116B,201,Cost Center
Defence,129B,202,Cost Center
Defence Capability Assessment,128B,203,Cost Center
Govt & Defence Executive,149B,204,Cost Center
Foreign Affairs,158B,205,Cost Center
Education & Employment,133B,207,Cost Center
Environment & Industry,138B,208,Cost Center
Industry Edu & Infra Exe,160B,209,Cost Center
Infrastructure Communica & Agriculture,161B,210,Cost Center
Families & Working Age,140B,211,Cost Center
Health,154B,212,Cost Center
Indigenous & Services Delivery,155B,213,Cost Center
Social Policy Executive,205B,214,Cost Center
Long Term Budget Policy,168B,216,Cost Center
Finance Executive,141B,218,Cost Center
Corporate Services Executive,125B,220,Cost Center
Coporate Engagement,126B,223,Cost Center
Parliamentary and Coordination Exec,185B,230,Cost Center
Parliamentary Liaison and Coordination,185B,231,Cost Center
Human Resources,187B,242,Cost Center
ICT Executive,166B,245,Cost Center
Facilities Management Executive,165B,246,Cost Center
Technical Services,164B,247,Cost Center
BES Executive,109B,248,Cost Center
Finance Transformation,210B,249,Cost Center
Projects Deployment Team,137B,252,Cost Center
M&PS  Executive,179B,253,Cost Center
"Policy, People, and Programs",178B,256,Cost Center
Australian Political Exchange Council,178B,257,Cost Center
Advice and Support,177B,258,Cost Center
M&PS - State Offices,177B,259,Cost Center
MOPS Pay and Conditions,178B,267,Cost Center
Client Services Executive,178B,270,Cost Center
Legal Services,167B,271,Cost Center
COMCAR National Office Exec,253B,287,Cost Center
Drving Ops - Exec - Special,121B,305,Cost Center
Drving Ops - Exec - Ann,121B,306,Cost Center
Client Liaison - Ann,121B,310,Cost Center
Drving Operations - ACT - Special,121B,312,Cost Center
Drving Operations - ACT - Ann,121B,313,Cost Center
Drving Operations - NSW - Ann,121B,317,Cost Center
Drving Operations - VIC - Ann,121B,321,Cost Center
Drving Operations - QLD - Ann,121B,325,Cost Center
Drving Operations - SA - Ann,121B,330,Cost Center
Drving Operations - WA - Ann,121B,334,Cost Center
Reservations & Allocations - Ann,121B,340,Cost Center
CFO,117B,342,Cost Center
Secretary's Reserve,211B,352,Cost Center
Maternity Leave,188B,355,Cost Center
Finance Wide Area Network,146B,357,Cost Center
MCN Support_ Staff Costs,146B,358,Cost Center
Government Network Services,146B,359,Cost Center
ICON (Intragov Comm Network),146B,360,Cost Center
Ministerial Communication Netw,170B,363,Cost Center
Telepresence,170B,364,Cost Center
National Telepresence System 2,170B,365,Cost Center
PGPA Projects,193B,368,Cost Center
PGPA BAU Activities,193B,369,Cost Center
Resource Management,201B,370,Cost Center
Reporting and Resourcing,203B,371,Cost Center
Indo Pacific Activities,207B,372,Cost Center
Efficiency Improvement,252B,378,Cost Center
Shared and Common Services,152B,379,Cost Center
Assurance and ICT Budget Advice,152B,380,Cost Center
G&T Executive,145B,382,Cost Center
Financial Analysis Reporting & Mgt Exec,139B,384,Cost Center
Budget Estimates and Accounting,111B,385,Cost Center
Financial Management,142B,386,Cost Center
CBMS Redevelopment Project,115B,387,Cost Center
CBMS Support,115B,389,Cost Center
Funds and Superannuation,147B,390,Cost Center
Efficiency & Assurance Exec,134B,402,Cost Center
Governance and Public Mgmt Exec,147B,403,Cost Center
FER & Contestability Reviews PRGM Mgt,135B,438,Cost Center
Streamlining Grants Administration PRGM,152B,439,Cost Center
Digital Records Management Program,193B,440,Cost Center
SDO Corporate,221B,457,Cost Center
Payroll & HR Systems (SDO),235B,459,Cost Center
Accounts Receivable (SDO),235B,461,Cost Center
Accounts Payable (SDO),235B,462,Cost Center
Travel and Credit Card (SDO),235B,463,Cost Center
HUB Services (SDO),236B,469,Cost Center
Parliamentary Workflow System,164B,470,Cost Center
Business Information Transformation Prog,210B,473,Cost Center
Property Efficiency Exec,198B,476,Cost Center
ICMS Upgrade,165B,478,Cost Center
GovLink,231B,480,Cost Center
Prop Divestment Exec,197B,481,Cost Center
Divestment Strategy,197B,482,Cost Center
Tenant Services,191B,483,Cost Center
Property Gov & Strategy,200B,484,Cost Center
ICON Light Rail,146B,488,Cost Center
Public Sector Reform,135B,494,Cost Center
IT Environment,146B,504,Cost Center
Security,165B,505,Cost Center
Service Mgmt,246B,506,Cost Center
Application Support,164B,508,Cost Center
Information Management,165B,509,Cost Center
Service Centre,164B,510,Cost Center
Parliamentary Expenses Management System,179B,511,Cost Center
Inland Rail Implementation,243B,512,Cost Center
Western Sydney Airport,244B,513,Cost Center
Snowy Hydro,245B,514,Cost Center
Secure Information Sharing Capability,164B,515,Cost Center
Process Automation & Tech Optimisation,247B,517,Cost Center
SDO Client Onboarding,247B,519,Cost Center
Shared Services Implementation Project,165B,524,Cost Center
SDO Projects,221B,535,Cost Center
Parliamentary Expenses Management System,164B,537,Cost Center
Driving Ops - Exec - Special - PBR Act,121B,549,Cost Center
Driving Operations - ACT - Special - PBR Act,121B,550,Cost Center
Driving Operations - NSW - Special - PBR Act,121B,551,Cost Center
Driving Operations - VIC - Special - PBR Act,121B,552,Cost Center
Driving Operations - QLD - Special - PBR Act,121B,553,Cost Center
Driving Operations - SA - Special - PBR Act,121B,554,Cost Center
Driving Operations - WA - Special - PBR Act,121B,555,Cost Center
Govt. Business Analytical unit,135B,558,Cost Center
COMCAR MPS Bus Srvs,253B,560,Cost Center
CBMS Operations/Support,250B,561,Cost Center
Reservations & Allocations - Special,121B,563,Cost Center
PBR Client Liaison - Special,121B,564,Cost Center
Legal Service Panel,195B,569,Cost Center
Investment Strategy,135B,570,Cost Center
Drving Operations - TAS - Ann,121B,338,Cost Center
Driving Operations - TAS - Special - PBR Act,121B,556,Cost Center
Technology Services,222B,100,Cost Center
Nat Disaster Relief & Recovery Arrange,202B,111,Cost Center
National Broadband Network,181B,115,Cost Center
MPO GBE Oversight,181B,116,Cost Center
Moorebank Project Office,173B,117,Cost Center
Moorebank Unit Relocation Project,180B,118,Cost Center
Defence Housing Reform Project,130B,120,Cost Center
Australian Hearing Project,106B,121,Cost Center
ASIC Registry Project,103B,122,Cost Center
Australian Rail Track Corp (ARTC),101B,125,Cost Center
